dis_name,location,trail,spirit_class,address,latitude,longitude,phone,email,website,social_link,found_date,certificate,amenities,url
Copper Sky Distillery,,,,"110 Emery St Suite C, Longmont, Colorado, 80501",40.161258,-105.098848,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/copper-sky-distillery/
Cook Inlet Distillery,,,,"1500 N Post Rd, Anchorage, Alaska, 99501",61.225104,-149.854826,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cook-inlet-distillery/
Burl & Sprig,,,,"500 W Western Ave Suite 300, Muskegon, Michigan, 49440",43.234138,-86.255805,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/burl-sprig/
Canal Spirits Craft Distillery,,,,"122 Cherry Street East, Canal Fulton, Ohio, 44614",40.889778,-81.597623,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/canal-spirits-craft-distillery/
Cape Charles Distillery,,,,"222 Mason Ave, Cape Charles, Virginia, 23310",37.267011,-76.018379,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cape-charles-distillery/
Caol Ila Distillery,,,,"Port Askaig, Argyll, Scotland, PA46 7RL",55.857377,-6.112776,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/caol-ila-distillery-2/
Brush Creek Distillery,,,,"6065 Hwy 130, Saratoga, Wyoming, 82331",41.355298,-106.605795,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/brush-creek-distillery/
Civilized Spirits,,,,"13512 Peninsula Drive, Traverse City, Michigan, 49684",44.886174,-85.528352,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/civilized-spirits/
Copper Kettle Distilling,,,,"939 W Houghton Lake Dr, Prudenville, Michigan, 48651",44.298351,-84.651967,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/copper-kettle-distilling/
Catskill Provisions Distillery,,,,"16 Upper Main St, Callicoon, New York, 12723",41.766761,-75.057145,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/catskill-provisions/
Chesapeake Bay Distillery,,,,"Virginia Beach, Virginia, 23451",36.852926,-75.977985,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/chesapeake-bay-distillery/
Conecuh Ridge Distillery - Clyde May's Whiskey (Coming Spring 2024),,,,"268 Clyde May Way, Troy, Alabama, 36081",31.824071,-85.977106,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/conecuh-ridge-distillery/
Copper Fiddle Distillery,,,,"532 W, IL-22 #110, Lake Zurich, Illinois, 60047",42.190475,-88.103855,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/copper-fiddle-distillery/
Catskill Distilling Company,,,,"2037 NY-17B, Bethel, New York, 12720",41.684903,-74.876092,,,,,,,['EV Charging'],https://www.distillerytrail.com/directory-distillery/listing/catskill-distilling-company/
Broken Barrel Whiskey Co.,,,,"2332 E. 8th Street, Los Angeles, California, 90021",34.029507,-118.230997,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/broken-barrel-whiskey-co/
Cathedral Ledge Distillery,,,,"3340 White Mountain Hwy, North Conway, New Hampshire, 03860",44.06782,-71.14369,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cathedral-ledge-distillery/
Casa Silencio Distillery & Boutique Hotel,,,,"Unnamed Road, Xaagá, Oaxaca, 70430",16.909952,-96.318575,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/casa-silencio-distillery-boutique-hotel/
Copper Ridge Distillery (Closed),,,,"6 North Vermilion Street, Danville, Illinois, 61832",40.124481,-87.630021,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/copper-ridge-distillery/
